PatientID,Veterinary_Group,BirthDate,Breed,Insurance_status,Date_of_neuter,Age_at_neuter_months,Neuter_Early,Neuter_Later_01,Comorbidity,Umbilical_hernia,Skin_disorder,Ear_disorder,Urogenital_disorder,Date of UI diagnosis,Age_at_UI,Time_Neuter_to_UI,UI_01,Final_EPR_Date,Follow_up_time_years,Time_interval,UI
129,3,15/10/2011,Labradoodle,1,20/02/2012,4.21,Early,0,0,0,0,0,0,29/03/2012,0.5,38,1,,0.2,3,
129,3,15/10/2011,Labradoodle,1,20/02/2012,4.21,Early,0,0,0,0,0,0,29/03/2012,0.5,38,1,,0.2,4,
727,3,07/07/2012,Crossbreed,0,12/11/2012,4.21,Early,0,1,0,0,1,0,,,,0,16/05/2023,8.2,1,0
727,3,07/07/2012,Crossbreed,0,12/11/2012,4.21,Early,0,1,0,0,1,0,,,,0,16/05/2023,8.2,2,0
727,3,07/07/2012,Crossbreed,0,12/11/2012,4.21,Early,0,1,0,0,1,0,,,,0,16/05/2023,8.2,3,0
727,3,07/07/2012,Crossbreed,0,12/11/2012,4.21,Early,0,1,0,0,1,0,,,,0,16/05/2023,8.2,4,0
60,0,13/01/2011,Shih-tzu,0,26/05/2011,4.38,Early,0,0,0,0,0,0,,,,0,10/03/2020,8.2,1,0
60,0,13/01/2011,Shih-tzu,0,26/05/2011,4.38,Early,0,0,0,0,0,0,,,,0,10/03/2020,8.2,2,0
60,0,13/01/2011,Shih-tzu,0,26/05/2011,4.38,Early,0,0,0,0,0,0,,,,0,10/03/2020,8.2,3,0
60,0,13/01/2011,Shih-tzu,0,26/05/2011,4.38,Early,0,0,0,0,0,0,,,,0,10/03/2020,8.2,4,0
765,0,12/12/2011,American Bulldog,0,23/04/2012,4.38,Early,0,0,0,0,0,0,,,,0,10/09/2012,0.5,1,0
765,0,12/12/2011,American Bulldog,0,23/04/2012,4.38,Early,0,0,0,0,0,0,,,,0,10/09/2012,0.5,2,
765,0,12/12/2011,American Bulldog,0,23/04/2012,4.38,Early,0,0,0,0,0,0,,,,0,10/09/2012,0.5,3,
765,0,12/12/2011,American Bulldog,0,23/04/2012,4.38,Early,0,0,0,0,0,0,,,,0,10/09/2012,0.5,4,
201,0,21/07/2010,Doberman Pinscher,0,03/12/2010,4.44,Early,0,0,0,0,0,0,02/09/2013,3.1,1004,1,,2.9,1,0
201,0,21/07/2010,Doberman Pinscher,0,03/12/2010,4.44,Early,0,0,0,0,0,0,02/09/2013,3.1,1004,1,,2.9,2,1
201,0,21/07/2010,Doberman Pinscher,0,03/12/2010,4.44,Early,0,0,0,0,0,0,02/09/2013,3.1,1004,1,,2.9,3,
201,0,21/07/2010,Doberman Pinscher,0,03/12/2010,4.44,Early,0,0,0,0,0,0,02/09/2013,3.1,1004,1,,2.9,4,
422,2,17/05/2010,Labrador Retriever,0,29/09/2010,4.44,Early,0,0,0,0,0,0,08/02/2011,0.7,132,1,,0.5,1,1
422,2,17/05/2010,Labrador Retriever,0,29/09/2010,4.44,Early,0,0,0,0,0,0,08/02/2011,0.7,132,1,,0.5,2,
422,2,17/05/2010,Labrador Retriever,0,29/09/2010,4.44,Early,0,0,0,0,0,0,08/02/2011,0.7,132,1,,0.5,3,
422,2,17/05/2010,Labrador Retriever,0,29/09/2010,4.44,Early,0,0,0,0,0,0,08/02/2011,0.7,132,1,,0.5,4,
65,4,25/02/2011,Bichon Frise,1,12/07/2011,4.51,Early,0,0,0,0,0,0,,,,0,03/11/2022,8.2,1,0
65,4,25/02/2011,Bichon Frise,1,12/07/2011,4.51,Early,0,0,0,0,0,0,,,,0,03/11/2022,8.2,2,0
65,4,25/02/2011,Bichon Frise,1,12/07/2011,4.51,Early,0,0,0,0,0,0,,,,0,03/11/2022,8.2,3,0
65,4,25/02/2011,Bichon Frise,1,12/07/2011,4.51,Early,0,0,0,0,0,0,,,,0,03/11/2022,8.2,4,0
900,3,07/10/2012,Cocker Spaniel,1,21/02/2013,4.51,Early,0,1,0,0,1,0,21/12/2020,8.2,2860,1,,8,1,0
900,3,07/10/2012,Cocker Spaniel,1,21/02/2013,4.51,Early,0,1,0,0,1,0,21/12/2020,8.2,2860,1,,8,2,0
900,3,07/10/2012,Cocker Spaniel,1,21/02/2013,4.51,Early,0,1,0,0,1,0,21/12/2020,8.2,2860,1,,8,3,0
900,3,07/10/2012,Cocker Spaniel,1,21/02/2013,4.51,Early,0,1,0,0,1,0,21/12/2020,8.2,2860,1,,8,4,1
189,3,14/04/2012,Labrador Retriever,1,30/08/2012,4.54,Early,0,0,0,0,0,0,08/07/2013,1.2,312,1,,1,1,1
189,3,14/04/2012,Labrador Retriever,1,30/08/2012,4.54,Early,0,0,0,0,0,0,08/07/2013,1.2,312,1,,1,2,
189,3,14/04/2012,Labrador Retriever,1,30/08/2012,4.54,Early,0,0,0,0,0,0,08/07/2013,1.2,312,1,,1,3,
189,3,14/04/2012,Labrador Retriever,1,30/08/2012,4.54,Early,0,0,0,0,0,0,08/07/2013,1.2,312,1,,1,4,
846,4,20/11/2012,Lhasa Apso,1,08/04/2013,4.57,Early,0,1,0,0,0,0,,,,0,08/05/2019,6.2,1,0
846,4,20/11/2012,Lhasa Apso,1,08/04/2013,4.57,Early,0,1,0,0,0,0,,,,0,08/05/2019,6.2,2,0
846,4,20/11/2012,Lhasa Apso,1,08/04/2013,4.57,Early,0,1,0,0,0,0,,,,0,08/05/2019,6.2,3,0
846,4,20/11/2012,Lhasa Apso,1,08/04/2013,4.57,Early,0,1,0,0,0,0,,,,0,08/05/2019,6.2,4,
858,3,17/08/2011,Cavalier King Charles Spaniel,1,03/01/2012,4.57,Early,0,1,1,0,0,0,,,,0,10/10/2022,8.2,1,0
858,3,17/08/2011,Cavalier King Charles Spaniel,1,03/01/2012,4.57,Early,0,1,1,0,0,0,,,,0,10/10/2022,8.2,2,0
858,3,17/08/2011,Cavalier King Charles Spaniel,1,03/01/2012,4.57,Early,0,1,1,0,0,0,,,,0,10/10/2022,8.2,3,0
858,3,17/08/2011,Cavalier King Charles Spaniel,1,03/01/2012,4.57,Early,0,1,1,0,0,0,,,,0,10/10/2022,8.2,4,0
620,0,30/05/2012,Staffordshire Bull Terrier,0,19/10/2012,4.67,Early,0,0,0,0,0,0,,,,0,19/06/2023,8.2,1,0
620,0,30/05/2012,Staffordshire Bull Terrier,0,19/10/2012,4.67,Early,0,0,0,0,0,0,,,,0,19/06/2023,8.2,2,0
620,0,30/05/2012,Staffordshire Bull Terrier,0,19/10/2012,4.67,Early,0,0,0,0,0,0,,,,0,19/06/2023,8.2,3,0
620,0,30/05/2012,Staffordshire Bull Terrier,0,19/10/2012,4.67,Early,0,0,0,0,0,0,,,,0,19/06/2023,8.2,4,0
618,0,15/01/2011,Crossbreed,0,07/06/2011,4.7,Early,0,1,0,0,0,0,,,,0,06/11/2019,8.2,1,0
618,0,15/01/2011,Crossbreed,0,07/06/2011,4.7,Early,0,1,0,0,0,0,,,,0,06/11/2019,8.2,2,0
618,0,15/01/2011,Crossbreed,0,07/06/2011,4.7,Early,0,1,0,0,0,0,,,,0,06/11/2019,8.2,3,0
618,0,15/01/2011,Crossbreed,0,07/06/2011,4.7,Early,0,1,0,0,0,0,,,,0,06/11/2019,8.2,4,0
669,0,25/08/2011,Jack Russell Terrier,0,16/01/2012,4.74,Early,0,0,0,0,0,0,,,,0,31/10/2012,0.9,1,0
669,0,25/08/2011,Jack Russell Terrier,0,16/01/2012,4.74,Early,0,0,0,0,0,0,,,,0,31/10/2012,0.9,2,
669,0,25/08/2011,Jack Russell Terrier,0,16/01/2012,4.74,Early,0,0,0,0,0,0,,,,0,31/10/2012,0.9,3,
669,0,25/08/2011,Jack Russell Terrier,0,16/01/2012,4.74,Early,0,0,0,0,0,0,,,,0,31/10/2012,0.9,4,
590,0,18/05/2012,Crossbreed,0,09/10/2012,4.74,Early,0,0,0,0,0,0,20/12/2017,5.6,1898,1,,5.3,1,0
590,0,18/05/2012,Crossbreed,0,09/10/2012,4.74,Early,0,0,0,0,0,0,20/12/2017,5.6,1898,1,,5.3,2,0
590,0,18/05/2012,Crossbreed,0,09/10/2012,4.74,Early,0,0,0,0,0,0,20/12/2017,5.6,1898,1,,5.3,3,1
590,0,18/05/2012,Crossbreed,0,09/10/2012,4.74,Early,0,0,0,0,0,0,20/12/2017,5.6,1898,1,,5.3,4,
271,3,11/11/2012,Crossbreed,1,04/04/2013,4.74,Early,0,0,0,0,0,0,,,,0,24/04/2023,8.2,1,0
271,3,11/11/2012,Crossbreed,1,04/04/2013,4.74,Early,0,0,0,0,0,0,,,,0,24/04/2023,8.2,2,0
271,3,11/11/2012,Crossbreed,1,04/04/2013,4.74,Early,0,0,0,0,0,0,,,,0,24/04/2023,8.2,3,0
271,3,11/11/2012,Crossbreed,1,04/04/2013,4.74,Early,0,0,0,0,0,0,,,,0,24/04/2023,8.2,4,0
902,0,07/10/2012,Labrador Retriever,0,01/03/2013,4.77,Early,0,1,0,0,0,1,,,,0,06/02/2014,1.1,1,0
902,0,07/10/2012,Labrador Retriever,0,01/03/2013,4.77,Early,0,1,0,0,0,1,,,,0,06/02/2014,1.1,2,
902,0,07/10/2012,Labrador Retriever,0,01/03/2013,4.77,Early,0,1,0,0,0,1,,,,0,06/02/2014,1.1,3,
902,0,07/10/2012,Labrador Retriever,0,01/03/2013,4.77,Early,0,1,0,0,0,1,,,,0,06/02/2014,1.1,4,
853,3,14/08/2012,Crossbreed,1,08/01/2013,4.84,Early,0,0,0,0,0,0,30/04/2013,0.7,112,1,,0.5,1,1
853,3,14/08/2012,Crossbreed,1,08/01/2013,4.84,Early,0,0,0,0,0,0,30/04/2013,0.7,112,1,,0.5,2,
853,3,14/08/2012,Crossbreed,1,08/01/2013,4.84,Early,0,0,0,0,0,0,30/04/2013,0.7,112,1,,0.5,3,
853,3,14/08/2012,Crossbreed,1,08/01/2013,4.84,Early,0,0,0,0,0,0,30/04/2013,0.7,112,1,,0.5,4,
226,0,07/04/2012,Labrador Retriever,0,03/09/2012,4.9,Early,0,0,0,0,0,0,,,,0,09/11/2022,8.2,1,0
226,0,07/04/2012,Labrador Retriever,0,03/09/2012,4.9,Early,0,0,0,0,0,0,,,,0,09/11/2022,8.2,2,0
226,0,07/04/2012,Labrador Retriever,0,03/09/2012,4.9,Early,0,0,0,0,0,0,,,,0,09/11/2022,8.2,3,0
226,0,07/04/2012,Labrador Retriever,0,03/09/2012,4.9,Early,0,0,0,0,0,0,,,,0,09/11/2022,8.2,4,0
871,0,20/08/2010,Crossbreed,0,17/01/2011,4.93,Early,0,0,0,0,0,0,29/03/2012,1.6,437,1,,1.4,1,1
871,0,20/08/2010,Crossbreed,0,17/01/2011,4.93,Early,0,0,0,0,0,0,29/03/2012,1.6,437,1,,1.4,2,
871,0,20/08/2010,Crossbreed,0,17/01/2011,4.93,Early,0,0,0,0,0,0,29/03/2012,1.6,437,1,,1.4,3,
871,0,20/08/2010,Crossbreed,0,17/01/2011,4.93,Early,0,0,0,0,0,0,29/03/2012,1.6,437,1,,1.4,4,
589,0,09/02/2012,Staffordshire Bull Terrier,0,09/07/2012,4.97,Early,0,0,0,0,0,0,23/10/2014,2.7,836,1,,2.5,1,0
589,0,09/02/2012,Staffordshire Bull Terrier,0,09/07/2012,4.97,Early,0,0,0,0,0,0,23/10/2014,2.7,836,1,,2.5,2,1
589,0,09/02/2012,Staffordshire Bull Terrier,0,09/07/2012,4.97,Early,0,0,0,0,0,0,23/10/2014,2.7,836,1,,2.5,3,
589,0,09/02/2012,Staffordshire Bull Terrier,0,09/07/2012,4.97,Early,0,0,0,0,0,0,23/10/2014,2.7,836,1,,2.5,4,
569,3,24/05/2012,Border Collie,1,22/10/2012,4.97,Early,0,0,0,0,0,0,12/12/2014,2.6,781,1,,2.3,1,0
569,3,24/05/2012,Border Collie,1,22/10/2012,4.97,Early,0,0,0,0,0,0,12/12/2014,2.6,781,1,,2.3,2,1
569,3,24/05/2012,Border Collie,1,22/10/2012,4.97,Early,0,0,0,0,0,0,12/12/2014,2.6,781,1,,2.3,3,
569,3,24/05/2012,Border Collie,1,22/10/2012,4.97,Early,0,0,0,0,0,0,12/12/2014,2.6,781,1,,2.3,4,
772,3,21/09/2012,Crossbreed,1,20/02/2013,5,Early,0,0,0,0,0,0,04/03/2020,7.5,2569,1,,7.2,1,0
772,3,21/09/2012,Crossbreed,1,20/02/2013,5,Early,0,0,0,0,0,0,04/03/2020,7.5,2569,1,,7.2,2,0
772,3,21/09/2012,Crossbreed,1,20/02/2013,5,Early,0,0,0,0,0,0,04/03/2020,7.5,2569,1,,7.2,3,0
772,3,21/09/2012,Crossbreed,1,20/02/2013,5,Early,0,0,0,0,0,0,04/03/2020,7.5,2569,1,,7.2,4,1
345,3,07/04/2012,Crossbreed,0,06/09/2012,5,Early,0,0,0,0,0,0,08/02/2016,3.8,1250,1,,3.6,1,0
345,3,07/04/2012,Crossbreed,0,06/09/2012,5,Early,0,0,0,0,0,0,08/02/2016,3.8,1250,1,,3.6,2,1
345,3,07/04/2012,Crossbreed,0,06/09/2012,5,Early,0,0,0,0,0,0,08/02/2016,3.8,1250,1,,3.6,3,
345,3,07/04/2012,Crossbreed,0,06/09/2012,5,Early,0,0,0,0,0,0,08/02/2016,3.8,1250,1,,3.6,4,
989,0,14/07/2010,Crossbreed,0,14/12/2010,5.03,Early,0,0,0,0,0,0,,,,0,23/12/2017,7.2,1,0
989,0,14/07/2010,Crossbreed,0,14/12/2010,5.03,Early,0,0,0,0,0,0,,,,0,23/12/2017,7.2,2,0
989,0,14/07/2010,Crossbreed,0,14/12/2010,5.03,Early,0,0,0,0,0,0,,,,0,23/12/2017,7.2,3,0
989,0,14/07/2010,Crossbreed,0,14/12/2010,5.03,Early,0,0,0,0,0,0,,,,0,23/12/2017,7.2,4,0
712,0,20/04/2010,Jack Russell Terrier,0,20/09/2010,5.03,Early,0,0,0,0,0,0,,,,0,28/11/2022,8.2,1,0
712,0,20/04/2010,Jack Russell Terrier,0,20/09/2010,5.03,Early,0,0,0,0,0,0,,,,0,28/11/2022,8.2,2,0
712,0,20/04/2010,Jack Russell Terrier,0,20/09/2010,5.03,Early,0,0,0,0,0,0,,,,0,28/11/2022,8.2,3,0
712,0,20/04/2010,Jack Russell Terrier,0,20/09/2010,5.03,Early,0,0,0,0,0,0,,,,0,28/11/2022,8.2,4,0
659,0,17/03/2011,Crossbreed,0,17/08/2011,5.03,Early,0,0,0,0,0,0,20/06/2013,2.3,673,1,,2,1,1
659,0,17/03/2011,Crossbreed,0,17/08/2011,5.03,Early,0,0,0,0,0,0,20/06/2013,2.3,673,1,,2,2,
659,0,17/03/2011,Crossbreed,0,17/08/2011,5.03,Early,0,0,0,0,0,0,20/06/2013,2.3,673,1,,2,3,
659,0,17/03/2011,Crossbreed,0,17/08/2011,5.03,Early,0,0,0,0,0,0,20/06/2013,2.3,673,1,,2,4,
598,4,15/04/2011,Purebreed - Other,0,15/09/2011,5.03,Early,0,0,0,0,0,0,16/12/2011,0.7,92,1,,0.4,1,1
598,4,15/04/2011,Purebreed - Other,0,15/09/2011,5.03,Early,0,0,0,0,0,0,16/12/2011,0.7,92,1,,0.4,2,
598,4,15/04/2011,Purebreed - Other,0,15/09/2011,5.03,Early,0,0,0,0,0,0,16/12/2011,0.7,92,1,,0.4,3,
598,4,15/04/2011,Purebreed - Other,0,15/09/2011,5.03,Early,0,0,0,0,0,0,16/12/2011,0.7,92,1,,0.4,4,
622,3,13/06/2012,Crossbreed,0,13/11/2012,5.03,Early,0,0,0,0,0,0,18/11/2019,7.4,2561,1,,7.2,1,0
622,3,13/06/2012,Crossbreed,0,13/11/2012,5.03,Early,0,0,0,0,0,0,18/11/2019,7.4,2561,1,,7.2,2,0
622,3,13/06/2012,Crossbreed,0,13/11/2012,5.03,Early,0,0,0,0,0,0,18/11/2019,7.4,2561,1,,7.2,3,0
622,3,13/06/2012,Crossbreed,0,13/11/2012,5.03,Early,0,0,0,0,0,0,18/11/2019,7.4,2561,1,,7.2,4,1
885,0,17/03/2010,English Springer Spaniel,0,18/08/2010,5.07,Early,0,0,0,0,0,0,25/02/2016,5.9,2017,1,,5.7,1,0
885,0,17/03/2010,English Springer Spaniel,0,18/08/2010,5.07,Early,0,0,0,0,0,0,25/02/2016,5.9,2017,1,,5.7,2,0
885,0,17/03/2010,English Springer Spaniel,0,18/08/2010,5.07,Early,0,0,0,0,0,0,25/02/2016,5.9,2017,1,,5.7,3,1
885,0,17/03/2010,English Springer Spaniel,0,18/08/2010,5.07,Early,0,0,0,0,0,0,25/02/2016,5.9,2017,1,,5.7,4,
305,0,10/10/2012,Crossbreed,0,13/03/2013,5.07,Early,0,0,0,0,0,0,21/06/2015,2.7,830,1,,2.4,1,0
305,0,10/10/2012,Crossbreed,0,13/03/2013,5.07,Early,0,0,0,0,0,0,21/06/2015,2.7,830,1,,2.4,2,1
305,0,10/10/2012,Crossbreed,0,13/03/2013,5.07,Early,0,0,0,0,0,0,21/06/2015,2.7,830,1,,2.4,3,
305,0,10/10/2012,Crossbreed,0,13/03/2013,5.07,Early,0,0,0,0,0,0,21/06/2015,2.7,830,1,,2.4,4,
318,3,15/09/2011,Border Collie,1,17/02/2012,5.1,Early,0,0,0,0,0,0,,,,0,03/05/2023,8.2,1,0
318,3,15/09/2011,Border Collie,1,17/02/2012,5.1,Early,0,0,0,0,0,0,,,,0,03/05/2023,8.2,2,0
318,3,15/09/2011,Border Collie,1,17/02/2012,5.1,Early,0,0,0,0,0,0,,,,0,03/05/2023,8.2,3,0
318,3,15/09/2011,Border Collie,1,17/02/2012,5.1,Early,0,0,0,0,0,0,,,,0,03/05/2023,8.2,4,0
236,0,30/11/2010,Crossbreed,0,05/05/2011,5.13,Early,0,0,0,0,0,0,,,,0,05/04/2023,8.2,1,0
236,0,30/11/2010,Crossbreed,0,05/05/2011,5.13,Early,0,0,0,0,0,0,,,,0,05/04/2023,8.2,2,0
236,0,30/11/2010,Crossbreed,0,05/05/2011,5.13,Early,0,0,0,0,0,0,,,,0,05/04/2023,8.2,3,0
236,0,30/11/2010,Crossbreed,0,05/05/2011,5.13,Early,0,0,0,0,0,0,,,,0,05/04/2023,8.2,4,0
564,0,18/01/2011,Purebreed - Other,0,23/06/2011,5.13,Early,0,0,0,0,0,0,25/05/2015,4.4,1432,1,,4.1,1,0
564,0,18/01/2011,Purebreed - Other,0,23/06/2011,5.13,Early,0,0,0,0,0,0,25/05/2015,4.4,1432,1,,4.1,2,1
564,0,18/01/2011,Purebreed - Other,0,23/06/2011,5.13,Early,0,0,0,0,0,0,25/05/2015,4.4,1432,1,,4.1,3,
564,0,18/01/2011,Purebreed - Other,0,23/06/2011,5.13,Early,0,0,0,0,0,0,25/05/2015,4.4,1432,1,,4.1,4,
578,0,16/10/2011,Boxer,0,20/03/2012,5.13,Early,0,0,0,0,0,0,10/08/2014,2.8,873,1,,2.6,1,0
578,0,16/10/2011,Boxer,0,20/03/2012,5.13,Early,0,0,0,0,0,0,10/08/2014,2.8,873,1,,2.6,2,1
578,0,16/10/2011,Boxer,0,20/03/2012,5.13,Early,0,0,0,0,0,0,10/08/2014,2.8,873,1,,2.6,3,
578,0,16/10/2011,Boxer,0,20/03/2012,5.13,Early,0,0,0,0,0,0,10/08/2014,2.8,873,1,,2.6,4,
452,0,10/12/2012,Purebreed - Other,0,15/05/2013,5.13,Early,0,0,0,0,0,0,07/07/2013,0.6,53,1,,0.3,1,1
452,0,10/12/2012,Purebreed - Other,0,15/05/2013,5.13,Early,0,0,0,0,0,0,07/07/2013,0.6,53,1,,0.3,2,
452,0,10/12/2012,Purebreed - Other,0,15/05/2013,5.13,Early,0,0,0,0,0,0,07/07/2013,0.6,53,1,,0.3,3,
452,0,10/12/2012,Purebreed - Other,0,15/05/2013,5.13,Early,0,0,0,0,0,0,07/07/2013,0.6,53,1,,0.3,4,
539,4,16/11/2010,Papillon,1,21/04/2011,5.13,Early,0,0,0,0,0,0,,,,0,20/08/2020,8.2,1,0
539,4,16/11/2010,Papillon,1,21/04/2011,5.13,Early,0,0,0,0,0,0,,,,0,20/08/2020,8.2,2,0
539,4,16/11/2010,Papillon,1,21/04/2011,5.13,Early,0,0,0,0,0,0,,,,0,20/08/2020,8.2,3,0
539,4,16/11/2010,Papillon,1,21/04/2011,5.13,Early,0,0,0,0,0,0,,,,0,20/08/2020,8.2,4,0
997,3,11/01/2012,Bichon Frise,1,15/06/2012,5.13,Early,0,1,1,0,0,0,08/08/2017,5.6,1880,1,,5.3,1,0
997,3,11/01/2012,Bichon Frise,1,15/06/2012,5.13,Early,0,1,1,0,0,0,08/08/2017,5.6,1880,1,,5.3,2,0
997,3,11/01/2012,Bichon Frise,1,15/06/2012,5.13,Early,0,1,1,0,0,0,08/08/2017,5.6,1880,1,,5.3,3,1
997,3,11/01/2012,Bichon Frise,1,15/06/2012,5.13,Early,0,1,1,0,0,0,08/08/2017,5.6,1880,1,,5.3,4,
703,3,20/08/2012,Border Collie,1,23/01/2013,5.13,Early,0,1,1,0,0,0,15/07/2016,3.9,1269,1,,3.7,1,0
703,3,20/08/2012,Border Collie,1,23/01/2013,5.13,Early,0,1,1,0,0,0,15/07/2016,3.9,1269,1,,3.7,2,1
703,3,20/08/2012,Border Collie,1,23/01/2013,5.13,Early,0,1,1,0,0,0,15/07/2016,3.9,1269,1,,3.7,3,
703,3,20/08/2012,Border Collie,1,23/01/2013,5.13,Early,0,1,1,0,0,0,15/07/2016,3.9,1269,1,,3.7,4,
13,3,22/08/2012,English Springer Spaniel,1,25/01/2013,5.13,Early,0,1,0,1,0,0,20/06/2015,2.8,876,1,,2.6,1,0
13,3,22/08/2012,English Springer Spaniel,1,25/01/2013,5.13,Early,0,1,0,1,0,0,20/06/2015,2.8,876,1,,2.6,2,1
13,3,22/08/2012,English Springer Spaniel,1,25/01/2013,5.13,Early,0,1,0,1,0,0,20/06/2015,2.8,876,1,,2.6,3,
13,3,22/08/2012,English Springer Spaniel,1,25/01/2013,5.13,Early,0,1,0,1,0,0,20/06/2015,2.8,876,1,,2.6,4,
984,2,15/05/2011,Shih-tzu,0,19/10/2011,5.16,Early,0,1,1,0,0,0,,,,0,02/05/2023,8.2,1,0
984,2,15/05/2011,Shih-tzu,0,19/10/2011,5.16,Early,0,1,1,0,0,0,,,,0,02/05/2023,8.2,2,0
984,2,15/05/2011,Shih-tzu,0,19/10/2011,5.16,Early,0,1,1,0,0,0,,,,0,02/05/2023,8.2,3,0
984,2,15/05/2011,Shih-tzu,0,19/10/2011,5.16,Early,0,1,1,0,0,0,,,,0,02/05/2023,8.2,4,0
144,2,05/10/2012,Dalmatian,0,11/03/2013,5.16,Early,0,0,0,0,0,0,29/05/2015,2.7,809,1,,2.4,1,0
144,2,05/10/2012,Dalmatian,0,11/03/2013,5.16,Early,0,0,0,0,0,0,29/05/2015,2.7,809,1,,2.4,2,1
144,2,05/10/2012,Dalmatian,0,11/03/2013,5.16,Early,0,0,0,0,0,0,29/05/2015,2.7,809,1,,2.4,3,
144,2,05/10/2012,Dalmatian,0,11/03/2013,5.16,Early,0,0,0,0,0,0,29/05/2015,2.7,809,1,,2.4,4,
36,0,04/04/2012,Pomeranian,0,08/09/2012,5.16,Early,0,0,0,0,0,0,,,,0,01/07/2013,1,1,0
36,0,04/04/2012,Pomeranian,0,08/09/2012,5.16,Early,0,0,0,0,0,0,,,,0,01/07/2013,1,2,
36,0,04/04/2012,Pomeranian,0,08/09/2012,5.16,Early,0,0,0,0,0,0,,,,0,01/07/2013,1,3,
36,0,04/04/2012,Pomeranian,0,08/09/2012,5.16,Early,0,0,0,0,0,0,,,,0,01/07/2013,1,4,
