PatientID,DataSiloName,BirthDate,Sex_Status ,Neuter_Status ,VetCompassBreed_Cleaned,Bodyweight (kg),Bodyweight (kg) (excluding missing),Bodyweight (kg)_missing,Insurance status,Insurance status_01,Overweight/obese,Overweight/obese_exclude missing,Overweight/obese_missing,Date of CCL rupture diagnosis,Age at diagnosis (years),Management of CCL rupture,Surgical Method,Change in Assignment ,Management of CCL rupture_01,Orthopaedic comorbidity at diagnosis collapsed,Number of non-orthopaedic comorbidities at diagnosis_grouped,Date of surgery,Lameness_binary_3mo,Lameness_3mo_cens,Lameness_3mo_missing,Lameness_binary_12mo,Lameness_12mo_cens,Lameness_12mo_missing,Analgesia_at_3mo,Analgesia_at_3mo_cens,Analgesia_at_6mo,Analgesia_at_6mo_cens,Analgesia_at_12mo,Analgesia_at_12mo_cens,Subsequent contralateral CCL rupture,Date of subsequent rupture,Did the dog die,Date of death,Method of death,Date of final EPR,Date of final follow up,Follow_up_time
96007,C,02/01/2008 00:00,Female,Neutered,Crossbreed,37.65,37.65,0,Insured,1,Not recorded,,0,08/01/2019 00:00,11.02,NonSurgical,,0,0,No recorded comorbidity ,1,,,1,1,,1,1,,1,,1,,1,No,,Yes,22/01/2019 00:00,Euthanasia,22/01/2019 00:00,22/01/2019 00:00,0.5
51685,D,01/09/2013 00:00,Male,Neutered,Stabyhound,18.85,18.85,0,Insured,1,Not recorded,,0,08/04/2019 00:00,5.6,Surgical,TTA,0,1,Osteoarthritis,0,09/04/2019 00:00,,1,1,,1,1,,1,,1,,1,No,,No,,,23/04/2019 00:00,23/04/2019 00:00,0.5
308,B,18/03/2011 00:00,Male,Neutered,Labrador Retriever,33.6,33.6,0,Insured,1,Not recorded,,0,03/06/2019 00:00,8.21,Surgical,TPLO,0,1,No recorded comorbidity ,0,05/06/2019 00:00,,1,1,,1,1,,1,,1,,1,No,,No,,,18/06/2019 00:00,18/06/2019 00:00,0.5
78607,C,18/08/2016 00:00,Female,Entire,Cockapoo,7.5,7.5,0,NotInsured,0,Overweight/obese,Overweight/obese,1,05/03/2019 00:00,2.54,NonSurgical,,0,0,No recorded comorbidity ,0,,,1,1,,1,1,,1,,1,,1,No,,No,,,21/03/2019 00:00,21/03/2019 00:00,0.5
7894,B,09/05/2014 00:00,Female,Neutered,British Bulldog,30.7,30.7,0,NotInsured,0,Overweight/obese,Overweight/obese,1,30/05/2019 00:00,5.06,Surgical,Lateral Suture,0,1,No recorded comorbidity ,0,04/06/2019 00:00,,1,1,,1,1,,1,,1,,1,No,,No,,,15/06/2019 00:00,15/06/2019 00:00,0.5
23840,B,06/10/2011 00:00,Male,Neutered,Boxer,33.8,33.8,0,NotInsured,0,Not recorded,,0,02/08/2019 00:00,7.82,Surgical,TPLO,0,1,No recorded comorbidity ,0,02/08/2019 00:00,,1,1,,1,1,,1,,1,,1,No,,No,,,20/08/2019 00:00,20/08/2019 00:00,0.6
78634,A,31/10/2013 00:00,Male,Neutered,Labrador Retriever,32.6,32.6,0,Insured,1,Not recorded,,0,21/01/2019 00:00,5.22,NonSurgical,,0,0,No recorded comorbidity ,0,,,1,1,,1,1,,1,,1,,1,No,,No,,,12/02/2019 00:00,12/02/2019 00:00,0.7
50043,B,21/05/2012 00:00,Male,Neutered,Crossbreed,7.75,7.75,0,Insured,1,Not recorded,,0,30/07/2019 00:00,7.19,Surgical,Lateral Suture,0,1,Osteoarthritis,0,07/08/2019 00:00,,1,1,,1,1,,1,,1,,1,No,,No,,,21/08/2019 00:00,21/08/2019 00:00,0.7
8255,D,19/09/2009 00:00,Female,Neutered,Crossbreed,28.1,28.1,0,Insured,1,Ideal bodyweight,Ideal bodyweight,1,18/07/2019 00:00,9.83,NonSurgical,,0,0,No recorded comorbidity ,1,,,1,1,,1,1,,1,,1,,1,No,,Yes,10/08/2019 00:00,Unassisted death,10/08/2019 00:00,10/08/2019 00:00,0.8
60306,B,10/10/2017 00:00,Male,Neutered,French Bulldog,-100,,1,NotInsured,0,Not recorded,,0,11/04/2019 00:00,1.5,Surgical,TPLO,0,1,No recorded comorbidity ,0,24/04/2019 00:00,,1,1,,1,1,,1,,1,,1,No,,No,,,07/05/2019 00:00,07/05/2019 00:00,0.9
5879,C,14/01/2010 00:00,Male,Neutered,Cocker Spaniel,17.75,17.75,0,NotInsured,0,Ideal bodyweight,Ideal bodyweight,1,23/05/2019 00:00,9.35,NonSurgical,,0,0,Osteoarthritis,0,,,1,1,,1,1,,1,,1,,1,No,,No,,,19/06/2019 00:00,19/06/2019 00:00,0.9
23033,A,27/11/2007 00:00,Female,Entire,Pomeranian,8.4,8.4,0,NotInsured,0,Not recorded,,0,10/04/2019 00:00,11.37,NonSurgical,,0,0,No recorded comorbidity ,0,,,1,1,,1,1,,1,,1,,1,No,,No,,,07/05/2019 00:00,07/05/2019 00:00,0.9
96582,A,01/05/2011 00:00,Female,Neutered,Labrador Retriever,24.1,24.1,0,NotInsured,0,Not recorded,,0,19/12/2019 00:00,8.64,Surgical,TPLO,0,1,No recorded comorbidity ,0,19/12/2019 00:00,,1,1,,1,1,,1,,1,,1,No,,No,,,16/01/2020 00:00,16/01/2020 00:00,0.9
82427,B,04/11/2010 00:00,Female,Neutered,Cocker Spaniel,16.2,16.2,0,Insured,1,Not recorded,,0,12/11/2019 00:00,9.02,NonSurgical,,0,0,No recorded comorbidity ,0,,,1,1,,1,1,,1,,1,,1,No,,No,,,12/12/2019 00:00,12/12/2019 00:00,1
26662,A,08/06/2009 00:00,Female,Neutered,Border Terrier,8.425,8.425,0,Insured,1,Not recorded,,0,07/01/2019 00:00,9.58,NonSurgical,,0,0,No recorded comorbidity ,0,,,1,1,,1,1,,1,,1,,1,No,,No,,,06/02/2019 00:00,06/02/2019 00:00,1
51179,B,14/12/2010 00:00,Male,Neutered,Chihuahua,4.28,4.28,0,NotInsured,0,Not recorded,,0,13/06/2019 00:00,8.5,NonSurgical,,0,0,Osteoarthritis,0,,,1,1,,1,1,,1,,1,,1,No,,No,,,14/07/2019 00:00,14/07/2019 00:00,1
83006,A,21/01/2014 00:00,Female,Neutered,Crossbreed,-100,,1,NotInsured,0,Overweight/obese,Overweight/obese,1,04/01/2019 00:00,4.95,NonSurgical,,0,0,No recorded comorbidity ,0,,,1,1,,1,1,,1,,1,,1,No,,Yes,05/02/2019 00:00,Euthanasia,05/02/2019 00:00,05/02/2019 00:00,1.1
47659,B,03/10/2010 00:00,Male,Entire,Cocker Spaniel,-100,,1,NotInsured,0,Not recorded,,0,16/04/2019 00:00,8.53,Surgical,TTA,0,1,No recorded comorbidity ,0,03/05/2019 00:00,,1,1,,1,1,,1,,1,,1,No,,No,,,21/05/2019 00:00,21/05/2019 00:00,1.2
12813,A,29/03/2010 00:00,Female,Entire,Crossbreed,8,8,0,NotInsured,0,Not recorded,,0,18/07/2019 00:00,9.3,NonSurgical,,0,0,No recorded comorbidity ,0,,,1,1,,1,1,,1,,1,,1,No,,No,,,23/08/2019 00:00,23/08/2019 00:00,1.2
43101,B,04/07/2012 00:00,Female,Entire,Labrador Retriever,26,26,0,Insured,1,Not recorded,,0,21/03/2019 00:00,6.71,Surgical,TPLO,0,1,Osteoarthritis,0,01/04/2019 00:00,,1,1,,1,1,,1,,1,,1,No,,No,,,28/04/2019 00:00,28/04/2019 00:00,1.3
61306,A,25/01/2011 00:00,Male,Neutered,Crossbreed,30.7,30.7,0,Insured,1,Not recorded,,0,13/12/2019 00:00,8.88,Surgical,TPLO,0,1,No recorded comorbidity ,0,13/12/2019 00:00,0,0,0,,1,1,,1,,1,,1,No,,No,,,21/01/2020 00:00,21/01/2020 00:00,1.3
58122,B,11/02/2013 00:00,Male,Entire,Bichon Frise,12.6,12.6,0,Insured,1,Not recorded,,0,12/04/2019 00:00,6.16,Surgical,TTA,0,1,No recorded comorbidity ,0,16/04/2019 00:00,,1,1,,1,1,,1,,1,,1,No,,No,,,22/05/2019 00:00,22/05/2019 00:00,1.3
73285,A,28/06/2009 00:00,Female,Neutered,Labrador Retriever,-100,,1,NotInsured,0,Not recorded,,0,27/03/2019 00:00,9.74,Surgical,TPLO,0,1,No recorded comorbidity ,0,27/03/2019 00:00,0,0,0,,1,1,,1,,1,,1,No,,No,,,07/05/2019 00:00,07/05/2019 00:00,1.4
34472,D,27/02/2012 00:00,Male,Neutered,American Staffordshire Terrier,-100,,1,NotInsured,0,Not recorded,,0,03/09/2019 00:00,7.52,Surgical,TPLO,0,1,No recorded comorbidity ,0,08/10/2019 00:00,,1,1,,1,1,,1,,1,,1,No,,No,,,15/10/2019 00:00,15/10/2019 00:00,1.4
42035,D,18/11/2016 00:00,Female,Entire,Bulldog,20.8,20.8,0,Insured,1,Not recorded,,0,17/01/2019 00:00,2.16,Surgical,TTA,0,1,No recorded comorbidity ,1,18/01/2019 00:00,,1,1,,1,1,,1,,1,,1,No,,No,,,01/03/2019 00:00,01/03/2019 00:00,1.4
82029,D,01/11/2012 00:00,Female,Neutered,West Highland White Terrier,10.05,10.05,0,Insured,1,Not recorded,,0,21/02/2019 00:00,6.31,Surgical,Lateral Suture,0,1,Osteoarthritis,0,22/02/2019 00:00,0,0,0,,1,1,,1,,1,,1,No,,No,,,05/04/2019 00:00,05/04/2019 00:00,1.4
15363,B,12/07/2012 00:00,Female,Neutered,Rottweiler,38.6,38.6,0,Insured,1,Not recorded,,0,16/10/2019 00:00,7.26,Surgical,Not recorded,0,1,No recorded comorbidity ,0,22/10/2019 00:00,0,0,0,,1,1,,1,,1,,1,No,,No,,,28/11/2019 00:00,28/11/2019 00:00,1.4
67578,A,20/02/2011 00:00,Female,Neutered,Crossbreed,26.1,26.1,0,Insured,1,Not recorded,,0,20/02/2019 00:00,8,Surgical,TPLO,0,1,No recorded comorbidity ,0,21/02/2019 00:00,0,0,0,,1,1,,1,,1,,1,No,,No,,,04/04/2019 00:00,04/04/2019 00:00,1.4
47039,D,02/02/2011 00:00,Female,Neutered,Border Terrier,9,9,0,Insured,1,Not recorded,,0,03/09/2019 00:00,8.58,Surgical,Lateral Suture,0,1,No recorded comorbidity ,0,03/09/2019,0,0,0,,1,1,,1,,1,,1,No,,No,,,17/10/2019 00:00,17/10/2019 00:00,1.5
24656,E,19/03/2013 20:16,Female,Neutered,Crossbreed,-100,,1,NotInsured,0,Overweight/obese,Overweight/obese,1,05/08/2019 00:00,6.38,Surgical,Not recorded,0,1,No recorded comorbidity ,0,06/08/2019 00:00,,1,1,,1,1,,1,,1,,1,No,,No,,,19/09/2019 00:00,19/09/2019 00:00,1.5
66233,A,26/04/2012 00:00,Female,Neutered,Miniature Doberman Pinscher,36,36,0,Insured,1,Not recorded,,0,25/01/2019 00:00,6.75,Surgical,TPLO,0,1,No recorded comorbidity ,0,25/01/2019 00:00,0,0,0,,1,1,,1,,1,,1,No,,No,,,13/03/2019 00:00,13/03/2019 00:00,1.6
82202,B,18/04/2012 00:00,Female,Neutered,Border Collie,20.45,20.45,0,NotInsured,0,Not recorded,,0,21/11/2019 00:00,7.59,NonSurgical,,0,0,Osteoarthritis,0,,1,0,0,,1,1,,1,,1,,1,No,,No,,,07/01/2020 00:00,07/01/2020 00:00,1.6
91844,A,29/01/2010 00:00,Female,Entire,German Shepherd Dog,-100,,1,Insured,1,Not recorded,,0,30/01/2019 00:00,9,Surgical,TPLO,0,1,No recorded comorbidity ,0,31/01/2019 00:00,0,0,0,,1,1,,1,,1,,1,No,,No,,,18/03/2019 00:00,18/03/2019 00:00,1.6
24564,A,18/01/2011 00:00,Female,Neutered,Beagle,19.7,19.7,0,Insured,1,Not recorded,,0,08/02/2019 00:00,8.06,Surgical,TPLO,0,1,No recorded comorbidity ,0,08/02/2019 00:00,0,0,0,,1,1,,1,,1,,1,No,,No,,,28/03/2019 00:00,28/03/2019 00:00,1.6
55314,A,26/05/2010 00:00,Female,Neutered,Miniature Schnauzer,-100,,1,Insured,1,Not recorded,,0,14/03/2019 00:00,8.8,Surgical,TPLO,0,1,No recorded comorbidity ,0,14/03/2019 00:00,,1,1,,1,1,,1,,1,,1,No,,No,,,01/05/2019 00:00,01/05/2019 00:00,1.6
94780,A,27/09/2015 00:00,Male,Neutered,German Shepherd Dog,-100,,1,Insured,1,Not recorded,,0,15/04/2019 00:00,3.55,Surgical,TPLO,0,1,Osteoarthritis,1,16/04/2019 00:00,,1,1,,1,1,,1,,1,,1,No,,No,,,03/06/2019 00:00,03/06/2019 00:00,1.6
24609,A,12/11/2012 00:00,Female,Neutered,Crossbreed,5.7,5.7,0,Insured,1,Not recorded,,0,05/02/2019 00:00,6.23,Surgical,CCWO,0,1,Patellar luxation,0,06/02/2019 00:00,1,0,0,,1,1,,1,,1,,1,No,,No,,,26/03/2019 00:00,26/03/2019 00:00,1.6
40134,A,07/03/2015 00:00,Female,Entire,Crossbreed,28,28,0,Insured,1,Not recorded,,0,20/03/2019 00:00,4.04,Surgical,TPLO,0,1,No recorded comorbidity ,0,21/03/2019 00:00,1,0,0,,1,1,,1,,1,,1,No,,No,,,09/05/2019 00:00,09/05/2019 00:00,1.6
72039,A,12/06/2010 00:00,Male,Entire,Crossbreed,10,10,0,Insured,1,Not recorded,,0,18/02/2019 00:00,8.69,Surgical,TPLO,0,1,No recorded comorbidity ,0,19/02/2019 00:00,0,0,0,,1,1,,1,,1,,1,No,,No,,,09/04/2019 00:00,09/04/2019 00:00,1.6
10080,A,16/08/2014 00:00,Female,Neutered,Crossbreed,37.4,37.4,0,NotInsured,0,Overweight/obese,Overweight/obese,1,20/02/2019 00:00,4.51,Surgical,TPLO,0,1,Osteoarthritis,0,20/02/2019 00:00,0,0,0,,1,1,,1,,1,,1,No,,No,,,12/04/2019 00:00,12/04/2019 00:00,1.7
44625,B,09/01/2013 00:00,Female,Entire,Crossbreed,7.25,7.25,0,NotInsured,0,Not recorded,,0,31/03/2019 00:00,6.22,NonSurgical,,0,0,No recorded comorbidity ,0,,0,0,0,,1,1,,1,,1,,1,No,,No,,,22/05/2019 00:00,22/05/2019 00:00,1.7
23359,B,19/06/2013 00:00,Female,Neutered,Staffordshire Bull Terrier,-100,,1,Insured,1,Not recorded,,0,30/12/2019 00:00,6.53,Surgical,TPLO,0,1,No recorded comorbidity ,0,09/01/2020 00:00,0,0,0,,1,1,,1,,1,,1,No,,No,,,20/02/2020 00:00,20/02/2020 00:00,1.7
48868,B,15/12/2012 00:00,Male,Entire,Australian Terrier,12.5,12.5,0,NotInsured,0,Not recorded,,0,16/10/2019 00:00,6.83,Surgical,TTA,0,1,No recorded comorbidity ,0,16/10/2019 00:00,0,0,0,,1,1,,1,,1,,1,No,,No,,,08/12/2019 00:00,08/12/2019 00:00,1.7
54470,A,12/08/2014 00:00,Female,Neutered,Bichon Frise,9,9,0,NotInsured,0,Not recorded,,0,13/09/2019 00:00,5.09,Surgical,Lateral Suture,0,1,No recorded comorbidity ,0,14/09/2019 00:00,,1,1,,1,1,,1,,1,,1,No,,No,,,06/11/2019 00:00,06/11/2019 00:00,1.8
89898,A,18/11/2008 00:00,Male,Neutered,King Charles Spaniel,12,12,0,Insured,1,Not recorded,,0,26/11/2019 00:00,11.02,Surgical,TPLO,0,1,Other,0,27/11/2019 00:00,1,0,0,,1,1,,1,,1,,1,No,,No,,,20/01/2020 00:00,20/01/2020 00:00,1.8
92367,A,28/02/2013 00:00,Male,Neutered,American Bulldog,42,42,0,Insured,1,Not recorded,,0,14/01/2019 00:00,5.88,Surgical,TPLO,0,1,Osteoarthritis,0,14/01/2019 00:00,0,0,0,,1,1,,1,,1,,1,No,,No,,,11/03/2019 00:00,11/03/2019 00:00,1.8
81533,A,24/10/2015 00:00,Male,Entire,Labrador Retriever,-100,,1,Insured,1,Not recorded,,0,09/05/2019 00:00,3.54,Surgical,TTA,0,1,No recorded comorbidity ,0,09/05/2019 00:00,0,0,0,,1,1,,1,,1,,1,No,,No,,,05/07/2019 00:00,05/07/2019 00:00,1.9
9964,C,23/05/2009 00:00,Female,Entire,West Highland White Terrier,9.3,9.3,0,Insured,1,Not recorded,,0,12/06/2019 00:00,10.05,Surgical,CCWO,0,1,Osteoarthritis,0,19/06/2019 00:00,0,0,0,,1,1,,1,,1,,1,No,,No,,,08/08/2019 00:00,08/08/2019 00:00,1.9
46475,A,08/12/2011 00:00,Male,Entire,Crossbreed,10.8,10.8,0,Insured,1,Not recorded,,0,13/11/2019 00:00,7.93,Surgical,TPLO,0,1,Patellar luxation,0,13/11/2019 00:00,1,0,0,,1,1,,1,,1,,1,No,,No,,,10/01/2020 00:00,10/01/2020 00:00,1.9
42128,D,08/04/2011 00:00,Female,Neutered,Bichon Frise,9.075,9.075,0,Insured,1,Not recorded,,0,06/08/2019 00:00,8.33,Surgical,CCWO,0,1,Osteoarthritis,0,06/08/2019 00:00,,1,1,,1,1,,1,,1,,1,No,,No,,,03/10/2019 00:00,03/10/2019 00:00,1.9
59132,B,15/11/2014 00:00,Male,Neutered,Husky,-100,,1,Insured,1,Not recorded,,0,24/05/2019 00:00,4.52,Surgical,TPLO,0,1,No recorded comorbidity ,0,11/06/2019 00:00,0,0,0,,1,1,,1,,1,,1,No,,No,,,22/07/2019 00:00,22/07/2019 00:00,1.9
45657,C,26/02/2009 00:00,Female,Entire,West Highland White Terrier,8.7,8.7,0,NotInsured,0,Not recorded,,0,15/03/2019 00:00,10.05,Surgical,TPLO,0,1,Osteoarthritis,0,04/04/2019 00:00,0,0,0,,1,1,,1,,1,,1,No,,No,,,13/05/2019 00:00,13/05/2019 00:00,1.9
20744,B,13/04/2011 00:00,Female,Entire,Jack Russell Terrier,6.5,6.5,0,NotInsured,0,Not recorded,,0,30/08/2019 00:00,8.38,Surgical,Not recorded,0,1,No recorded comorbidity ,0,18/09/2019 00:00,1,0,0,,1,1,,1,,1,,1,No,,No,,,29/10/2019 00:00,29/10/2019 00:00,2
42927,B,13/09/2007 00:00,Female,Entire,Miniature Poodle,9.9,9.9,0,NotInsured,0,Overweight/obese,Overweight/obese,1,14/09/2019 00:00,11.98,Surgical,Lateral Suture,0,1,No recorded comorbidity ,0,23/09/2019 00:00,1,0,0,,1,1,,1,,1,,1,No,,No,,,15/11/2019 00:00,15/11/2019 00:00,2
96482,C,13/08/2014 00:00,Male,Entire,Shih-tzu,9.8,9.8,0,Insured,1,Overweight/obese,Overweight/obese,1,20/09/2019 00:00,5.1,Surgical,TPLO,0,1,Osteoarthritis,0,24/10/2019 00:00,0,0,0,,1,1,,1,,1,,1,No,,No,,,22/11/2019 00:00,22/11/2019 00:00,2.1
56521,D,11/09/2011 00:00,Female,Neutered,Miniature Poodle,10,10,0,NotInsured,0,Overweight/obese,Overweight/obese,1,23/09/2019 00:00,8.03,Surgical,TPLO,0,1,No recorded comorbidity ,0,30/09/2019 00:00,0,0,0,,1,1,,1,,1,,1,No,,No,,,25/11/2019 00:00,25/11/2019 00:00,2.1
77506,A,17/07/2013 00:00,Female,Neutered,Golden Retriever,30.7,30.7,0,Insured,1,Not recorded,,0,01/03/2019 00:00,5.62,Surgical,TPLO,0,1,Osteoarthritis,0,25/03/2019 00:00,1,0,0,,1,1,,1,,1,,1,No,,No,,,04/05/2019 00:00,04/05/2019 00:00,2.1
37471,A,01/09/2013 00:00,Female,Neutered,Bernese Mountain Dog,46.95,46.95,0,Insured,1,Not recorded,,0,04/06/2019 00:00,5.75,Surgical,TTA,0,1,No recorded comorbidity ,0,12/06/2019 00:00,1,0,0,,1,1,,1,,1,,1,No,,No,,,09/08/2019 00:00,09/08/2019 00:00,2.2
68690,A,12/11/2009 00:00,Female,Neutered,Golden Retriever,-100,,1,Insured,1,Not recorded,,0,14/03/2019 00:00,9.33,Surgical,TPLO,0,1,No recorded comorbidity ,0,14/03/2019 00:00,,1,1,,1,1,,1,,1,,1,No,,No,,,20/05/2019 00:00,20/05/2019 00:00,2.2
49584,B,05/09/2017 00:00,Male,Entire,American Bulldog,39.8,39.8,0,NotInsured,0,Not recorded,,0,20/06/2019 00:00,1.79,Surgical,Not recorded,0,1,No recorded comorbidity ,0,26/06/2019 00:00,0,0,0,,1,1,,1,,1,,1,No,,No,,,28/08/2019 00:00,28/08/2019 00:00,2.3
61296,A,15/06/2013 00:00,Male,Neutered,Boxer,28,28,0,Insured,1,Not recorded,,0,05/07/2019 00:00,6.05,Surgical,TPLO,0,1,Osteoarthritis,0,05/07/2019 00:00,,1,1,,1,1,,1,,1,,1,No,,No,,,13/09/2019 00:00,13/09/2019 00:00,2.3
87979,A,22/07/2010 00:00,Male,Entire,Jack Russell Terrier,7.4,7.4,0,Insured,1,Not recorded,,0,15/04/2019 00:00,8.73,Surgical,TPLO,0,1,No recorded comorbidity ,1,15/04/2019 00:00,0,0,0,,1,1,,1,,1,,1,Yes,24/06/2019 00:00,No,,,28/10/2019 00:00,24/06/2019 00:00,2.3
52424,B,15/02/2010 00:00,Female,Neutered,Cocker Spaniel,19.3,19.3,0,Insured,1,Not recorded,,0,13/11/2019 00:00,9.74,Surgical,TTA,0,1,No recorded comorbidity ,0,27/11/2019 00:00,0,0,0,,1,1,,1,,1,,1,No,,No,,,22/01/2020 00:00,22/01/2020 00:00,2.3
99220,B,16/02/2013 00:00,Male,Neutered,Whippet,16.6,16.6,0,NotInsured,0,Not recorded,,0,18/10/2019 00:00,6.67,Surgical,TPLO,0,1,No recorded comorbidity ,0,28/10/2019 00:00,1,0,0,,1,1,,1,,1,,1,No,,No,,,28/12/2019 00:00,28/12/2019 00:00,2.3
68398,D,20/11/2012 00:00,Female,Neutered,Labrador Retriever,30.5,30.5,0,Insured,1,Not recorded,,0,27/11/2019 00:00,7.02,Surgical,TPLO,0,1,No recorded comorbidity ,0,27/11/2019 00:00,0,0,0,,1,1,,1,,1,,1,No,,No,,,06/02/2020 00:00,06/02/2020 00:00,2.3
90872,A,01/12/2011 00:00,Female,Neutered,Labrador Retriever,33.65,33.65,0,Insured,1,Not recorded,,0,15/05/2019 00:00,7.45,Surgical,TPLO,0,1,Osteoarthritis,0,15/05/2019 00:00,0,0,0,,1,1,,1,,1,,1,No,,No,,,25/07/2019 00:00,25/07/2019 00:00,2.3
3787,C,15/05/2017 00:00,Male,Entire,Rottweiler,41.3,41.3,0,NotInsured,0,Not recorded,,0,01/07/2019 00:00,2.13,Surgical,TPLO,0,1,No recorded comorbidity ,0,16/07/2019 00:00,0,0,0,,1,0,,1,,1,,1,Yes,13/09/2019 00:00,No,,,28/08/2021 00:00,13/09/2019 00:00,2.4
