id,DataSilo,BirthDate,VetCompassBreedOriginal,Insured,ChronicComorbidityBaseline,DateDiagnosis,AgeDiagnosis,PimoPresc,DatePimoPresc,TimeDiagnosisPimo,DiagnosticsBaseline,CHF_01_5max,DateOfCHF,Died_01_5max,compev,MethodOfDeath,DeathRelated,DateOfDeath,DateFinalEPR,FollowUp,LTFU
18294,1,01/04/2004 00:00,Jack Russell Terrier,0,1,15/06/2018 00:00,14.2,NotPrescribed,,NA,0,1,03/09/2018 00:00,1,1,Euthanasia,Primary reason for death,27/04/2020 00:00,,80,0
60998,1,09/09/2004 00:00,Cocker Spaniel,1,1,31/05/2017 00:00,12.72,Prescribed,23/06/2017 00:00,23,1,0,,1,2,Euthanasia,Not related to cardiac disease,19/08/2017 00:00,19/08/2017 00:00,80,0
82414,1,12/01/2010 00:00,Cavalier King Charles Spaniel,1,0,25/08/2017 00:00,7.62,NotPrescribed,,NA,0,0,,1,2,Unassisted,Not recorded,15/11/2017 00:00,,82,0
90029,2,08/02/2000 00:00,Jack Russell Terrier,0,0,13/02/2016 00:00,16.01,NotPrescribed,,NA,0,0,,1,2,Euthanasia,Not recorded,05/05/2016 00:00,,82,0
36182,0,01/11/2004 00:00,Yorkshire Terrier,0,1,04/09/2018 00:00,13.84,NotPrescribed,26/11/2018 00:00,NA,0,1,26/11/2018 00:00,1,1,Euthanasia,Primary reason for death,24/12/2018 00:00,,83,0
85609,1,01/07/2009 00:00,Cavalier King Charles Spaniel,0,1,17/08/2018 00:00,9.13,NotPrescribed,09/11/2018 00:00,NA,0,1,09/11/2018 00:00,1,1,Euthanasia,Primary reason for death,07/06/2019 00:00,,84,0
87309,1,24/02/2006 00:00,Russian Toy Terrier,1,1,29/10/2016 00:00,10.68,NotPrescribed,,NA,0,0,,0,0,,,,24/01/2017 00:00,87,1
23488,1,19/08/2005 00:00,Cavalier King Charles Spaniel,0,1,18/12/2018 00:00,13.33,NotPrescribed,,NA,0,1,18/03/2019 00:00,1,1,Euthanasia,Secondary reason for death,18/03/2019 00:00,,90,0
75123,1,01/09/2002 00:00,Miniature Schnauzer,1,1,20/07/2016 00:00,13.88,NotPrescribed,,NA,0,0,,1,2,Euthanasia,Not related to cardiac disease,18/10/2016 00:00,,90,0
12998,1,04/11/2009 00:00,Cavalier King Charles Spaniel,1,0,08/05/2018 00:00,8.51,NotPrescribed,11/09/2018 00:00,NA,0,1,07/08/2018 00:00,1,1,Unassisted,Not recorded,07/02/2022 00:00,,91,0
55812,2,27/10/2005 00:00,Cavalier King Charles Spaniel,0,1,18/04/2016 00:00,10.48,NotPrescribed,,NA,0,0,,0,0,,,,18/07/2016 00:00,91,1
25928,0,17/02/2004 00:00,Cavalier King Charles Spaniel,0,1,20/07/2016 00:00,12.42,NotPrescribed,,NA,0,0,,1,2,Euthanasia,Not related to cardiac disease,20/10/2016 00:00,,92,0
36031,0,04/08/2007 00:00,Yorkshire Terrier,0,1,10/08/2016 00:00,9.02,NotPrescribed,11/11/2016 00:00,NA,0,1,11/11/2016 00:00,1,1,Euthanasia,Primary reason for death,17/11/2016 00:00,,93,0
34337,1,24/10/2005 00:00,Cavalier King Charles Spaniel,0,1,25/10/2016 00:00,11,NotPrescribed,,NA,0,0,,0,0,,,,30/01/2017 00:00,97,1
56945,1,23/10/2007 00:00,Shih Tzu,1,1,20/10/2018 00:00,10.99,NotPrescribed,,NA,0,0,,1,2,Euthanasia,Not related to cardiac disease,28/01/2019 00:00,,100,0
32528,0,25/02/2009 00:00,Cavalier King Charles Spaniel,0,1,11/10/2016 00:00,7.62,Prescribed,17/10/2016 00:00,6,0,0,,0,0,,,,20/01/2017 00:00,101,1
64854,0,05/06/2005 00:00,Chihuahua,0,1,19/03/2016 00:00,10.79,NotPrescribed,,NA,0,0,,1,2,Euthanasia,Not related to cardiac disease,28/06/2016 00:00,,101,0
51003,2,05/01/2005 00:00,Cavalier King Charles Spaniel,0,1,18/01/2016 00:00,11.03,NotPrescribed,,NA,0,0,,0,0,,,,28/04/2016 00:00,101,1
22452,2,07/04/2004 00:00,Crossbreed,0,1,22/03/2016 00:00,11.96,NotPrescribed,,NA,0,0,,0,0,,,,01/07/2016 00:00,101,1
63286,1,15/05/2008 00:00,Chihuahua,0,1,27/05/2016 00:00,8.03,NotPrescribed,,NA,0,0,,0,0,,,,07/09/2016 00:00,103,1
9075,3,01/10/2005 00:00,Yorkshire Terrier,0,1,18/08/2018 00:00,12.88,NotPrescribed,,NA,0,1,01/12/2018 00:00,1,1,Euthanasia,Primary reason for death,01/12/2018 00:00,,105,0
64445,1,14/11/2003 00:00,Jack Russell Terrier,0,1,07/07/2017 00:00,13.65,NotPrescribed,30/03/2020 00:00,NA,0,1,20/10/2017 00:00,1,1,Euthanasia,Secondary reason for death,17/11/2020 00:00,,105,0
64205,0,22/07/2004 00:00,Yorkshire Terrier,0,1,22/07/2016 00:00,12,NotPrescribed,,NA,0,0,,1,2,Unassisted,Not recorded,04/11/2016 00:00,,105,0
54164,0,15/05/2004 00:00,Italian Greyhound,0,0,12/10/2017 00:00,13.41,NotPrescribed,,NA,0,0,,1,2,Euthanasia,Not related to cardiac disease,26/01/2018 00:00,,106,0
28394,1,18/08/2004 00:00,Cavalier King Charles Spaniel,1,1,01/08/2017 00:00,12.95,Prescribed,13/08/2017 00:00,12,1,0,,1,2,Euthanasia,Not related to cardiac disease,18/11/2017 00:00,,109,0
90696,0,30/07/2002 00:00,Cavalier King Charles Spaniel,0,1,07/06/2017 00:00,14.86,NotPrescribed,,NA,0,1,25/09/2017 00:00,1,1,Euthanasia,Primary reason for death,25/09/2017 00:00,,110,0
87617,0,02/03/2005 00:00,Cavalier King Charles Spaniel,0,1,23/06/2017 00:00,12.31,Prescribed,23/06/2017 00:00,1,1,0,,0,0,,,,11/10/2017 00:00,110,1
20065,1,23/11/2008 00:00,Cavalier King Charles Spaniel,0,1,15/02/2018 00:00,9.23,Prescribed,27/03/2018 00:00,40,1,0,,0,0,,,,06/06/2018 00:00,111,1
18299,0,21/11/2006 00:00,Cavalier King Charles Spaniel,0,1,17/01/2018 00:00,11.16,NotPrescribed,,NA,0,0,,1,2,Euthanasia,Not related to cardiac disease,08/05/2018 00:00,,111,0
41575,0,30/06/2005 00:00,Crossbreed,0,0,18/01/2018 00:00,12.55,NotPrescribed,10/05/2018 00:00,NA,0,1,10/05/2018 00:00,1,1,Euthanasia,Not recorded,07/05/2020 00:00,,112,0
56426,0,10/05/2009 00:00,King Charles Spaniel,0,1,22/06/2017 00:00,8.12,Prescribed,22/06/2017 00:00,1,0,0,,1,2,Euthanasia,Not recorded,12/10/2017 00:00,,112,0
30679,2,25/03/2004 00:00,Cairn Terrier,0,1,26/03/2016 00:00,12,NotPrescribed,,NA,0,0,,1,2,Euthanasia,Not related to cardiac disease,18/07/2016 00:00,,114,0
18295,1,29/05/2005 00:00,Cavalier King Charles Spaniel,0,1,02/05/2017 00:00,11.93,Prescribed,02/05/2017 00:00,1,0,0,,1,2,Euthanasia,Not related to cardiac disease,28/08/2017 00:00,,118,0
37030,2,12/02/2007 00:00,Jack Russell Terrier,0,0,05/11/2017 00:00,10.73,NotPrescribed,,NA,0,0,,0,0,,,,04/03/2018 00:00,119,1
25741,0,19/04/2008 00:00,Pekingese,0,0,23/04/2018 00:00,10.01,Prescribed,23/04/2018 00:00,1,0,0,,0,0,,,,21/08/2018 00:00,120,1
8266,0,03/03/2004 00:00,Cavalier King Charles Spaniel,0,1,20/10/2017 00:00,13.63,NotPrescribed,22/08/2018 00:00,NA,0,1,18/02/2018 00:00,0,1,,,,22/08/2018 00:00,121,0
98565,0,21/06/2008 00:00,Jack Russell Terrier,0,1,20/06/2018 00:00,10,NotPrescribed,,NA,1,0,,1,2,Euthanasia,Not recorded,19/10/2018 00:00,,121,0
58219,0,12/11/2006 00:00,Crossbreed,0,1,15/04/2016 00:00,9.42,NotPrescribed,,NA,0,1,15/08/2016 00:00,1,1,Euthanasia,Primary reason for death,15/08/2016 00:00,,122,0
7760,0,01/03/2004 00:00,Shih Tzu,1,1,07/11/2016 00:00,12.69,NotPrescribed,09/03/2017 00:00,NA,0,1,09/03/2017 00:00,1,1,Euthanasia,Secondary reason for death,21/04/2019 00:00,,122,0
70446,0,03/10/2003 00:00,King Charles Spaniel,0,1,10/09/2016 00:00,12.94,NotPrescribed,,NA,0,0,,1,2,Euthanasia,Not related to cardiac disease,10/01/2017 00:00,,122,0
75892,2,26/02/2008 00:00,Chihuahua,0,1,28/02/2016 00:00,8.01,NotPrescribed,,NA,0,0,,1,2,Euthanasia,Secondary reason for death,30/06/2016 00:00,,123,0
48657,1,02/03/2009 00:00,Jack Russell Terrier,0,1,23/10/2018 00:00,9.64,NotPrescribed,,NA,0,1,25/02/2019 00:00,1,1,Euthanasia,Primary reason for death,05/04/2019 00:00,,125,0
22073,0,25/10/2008 00:00,Cavalier King Charles Spaniel,0,0,31/03/2016 00:00,7.43,NotPrescribed,03/08/2016 00:00,NA,0,1,03/08/2016 00:00,1,1,Euthanasia,Not recorded,11/03/2017 00:00,,125,0
75925,2,19/07/2006 00:00,Jack Russell Terrier,0,1,05/03/2016 00:00,9.63,NotPrescribed,,NA,0,0,,0,0,,,,09/07/2016 00:00,126,1
68511,0,05/09/2005 00:00,Cairn Terrier,0,1,08/06/2018 00:00,12.76,NotPrescribed,,NA,0,0,,1,2,Unassisted,Not recorded,13/10/2018 00:00,,127,0
14956,3,01/04/2008 00:00,Chihuahua,1,1,03/11/2018 00:00,10.59,NotPrescribed,11/03/2019 00:00,NA,0,1,11/03/2019 00:00,0,1,,,,29/08/2019 00:00,128,0
32651,0,22/10/2001 00:00,Jack Russell Terrier,0,1,08/08/2016 00:00,14.8,NotPrescribed,,NA,0,0,,1,2,Euthanasia,Not recorded,17/12/2016 00:00,,131,0
62113,0,09/06/2000 00:00,Crossbreed,0,0,23/04/2016 00:00,15.87,NotPrescribed,,NA,0,0,,1,2,Unassisted,Not recorded,02/09/2016 00:00,,132,0
46853,0,13/09/2008 00:00,Shih Tzu,0,1,11/11/2018 00:00,10.16,NotPrescribed,24/03/2019 00:00,NA,0,1,24/03/2019 00:00,1,1,Euthanasia,Primary reason for death,07/07/2020 00:00,,133,0
70473,0,22/01/2008 00:00,Cavalier King Charles Spaniel,0,1,23/01/2017 00:00,9,NotPrescribed,07/06/2017 00:00,NA,0,1,07/06/2017 00:00,1,1,Euthanasia,Primary reason for death,12/06/2017 00:00,,135,0
35561,0,07/08/2004 00:00,English Cocker Spaniel,0,1,12/09/2018 00:00,14.1,NotPrescribed,26/01/2019 00:00,NA,0,1,26/01/2019 00:00,1,1,Euthanasia,Primary reason for death,30/01/2019 00:00,,136,0
66664,1,14/04/2009 00:00,Jack Russell Terrier,0,0,04/11/2016 00:00,7.56,NotPrescribed,21/03/2017 00:00,NA,0,1,21/03/2017 00:00,1,1,Euthanasia,Secondary reason for death,24/04/2017 00:00,,137,0
11240,2,02/01/2006 00:00,Cavalier King Charles Spaniel,0,1,29/01/2016 00:00,10.07,NotPrescribed,,NA,0,0,,0,0,,,,15/06/2016 00:00,138,1
92758,0,15/07/2006 00:00,Cavalier King Charles Spaniel,0,0,13/04/2017 00:00,10.75,NotPrescribed,,NA,0,1,30/08/2017 00:00,1,1,Euthanasia,Not related to cardiac disease,18/10/2018 00:00,,139,0
70475,2,19/12/2008 00:00,Cavalier King Charles Spaniel,0,0,09/11/2017 00:00,8.89,Prescribed,09/11/2017 00:00,1,0,1,30/03/2018 00:00,0,1,,,,13/04/2019 00:00,141,0
34145,0,17/08/2004 00:00,Jack Russell Terrier,0,1,09/08/2017 00:00,12.98,NotPrescribed,,NA,0,0,,1,2,Euthanasia,Not related to cardiac disease,28/12/2017 00:00,,141,0
65796,2,01/03/2006 00:00,West Highland White Terrier,0,0,21/09/2017 00:00,11.56,NotPrescribed,,NA,0,0,,0,0,,,,13/02/2018 00:00,145,1
71361,1,27/08/2005 00:00,Jack Russell Terrier,0,1,07/12/2016 00:00,11.28,Prescribed,24/04/2017 00:00,138,0,0,,1,2,Euthanasia,Not related to cardiac disease,03/05/2017 00:00,,147,0
69974,0,16/07/2009 00:00,Crossbreed,0,0,14/07/2017 00:00,7.99,NotPrescribed,,NA,0,0,,0,0,,,,08/12/2017 00:00,147,1
37475,1,22/03/2003 00:00,Jack Russell Terrier,0,1,24/01/2018 00:00,14.84,NotPrescribed,,NA,0,0,,1,2,Euthanasia,Secondary reason for death,20/06/2018 00:00,,147,0
27433,1,23/04/2006 00:00,Cavalier King Charles Spaniel,0,0,30/06/2016 00:00,10.19,NotPrescribed,,NA,0,0,,1,2,Unassisted,Not recorded,25/11/2016 00:00,,148,0
50525,2,06/06/2007 00:00,Cavalier King Charles Spaniel,0,1,17/05/2016 00:00,8.95,NotPrescribed,15/10/2016 00:00,NA,0,1,15/10/2016 00:00,0,1,,,,11/06/2018 00:00,151,0
26442,2,24/08/2004 00:00,Poodle,0,1,27/08/2016 00:00,12.01,NotPrescribed,,NA,0,1,26/01/2017 00:00,1,1,Euthanasia,Primary reason for death,26/01/2017 00:00,,152,0
25933,1,03/09/2008 00:00,Norfolk Terrier,0,0,23/05/2017 00:00,8.72,NotPrescribed,,NA,0,1,24/10/2017 00:00,1,1,Unassisted,Primary reason for death,24/10/2017 00:00,,154,0
17332,0,05/05/2008 00:00,Lhasa Apso,0,1,13/11/2018 00:00,10.52,NotPrescribed,17/04/2019 00:00,NA,0,1,17/04/2019 00:00,1,1,Euthanasia,Primary reason for death,17/04/2019 00:00,,155,0
45911,0,05/01/2008 00:00,Cockapoo,0,1,30/05/2018 00:00,10.4,NotPrescribed,,NA,0,0,,0,0,,,,05/11/2018 00:00,159,1
25245,1,13/04/2006 00:00,Cavalier King Charles Spaniel,1,1,03/02/2017 00:00,10.81,NotPrescribed,19/07/2017 00:00,NA,0,1,13/07/2017 00:00,1,1,Euthanasia,Primary reason for death,28/12/2017 00:00,,160,0
79768,1,10/04/2009 00:00,King Charles Spaniel,1,1,22/03/2017 00:00,7.95,NotPrescribed,,NA,1,0,,0,0,,,,29/08/2017 00:00,160,1
73657,0,28/01/2002 00:00,Crossbreed,0,1,25/10/2018 00:00,16.74,NotPrescribed,,NA,0,0,,1,2,Euthanasia,Not recorded,04/04/2019 00:00,,161,0
88624,2,01/07/2007 00:00,Cavalier King Charles Spaniel,0,1,03/10/2017 00:00,10.26,Prescribed,15/02/2018 00:00,135,0,0,,1,2,Euthanasia,Not related to cardiac disease,14/03/2018 00:00,,162,0
3601,2,09/10/2009 00:00,Cavalier King Charles Spaniel,0,1,19/07/2016 00:00,6.78,NotPrescribed,30/12/2016 00:00,NA,0,1,30/12/2016 00:00,1,1,Euthanasia,Primary reason for death,08/10/2019 00:00,,164,0
93786,0,11/02/2005 00:00,King Charles Spaniel,0,0,30/12/2016 00:00,11.88,NotPrescribed,,NA,0,0,,0,0,,,,12/06/2017 00:00,164,1
23554,1,23/11/2000 00:00,Yorkshire Terrier,0,1,31/03/2016 00:00,15.35,NotPrescribed,,NA,0,1,14/09/2016 00:00,1,1,Euthanasia,Primary reason for death,14/09/2016 00:00,,167,0
72359,2,25/08/2007 00:00,Cavalier King Charles Spaniel,0,1,25/08/2016 00:00,9,NotPrescribed,,NA,0,0,,0,0,,,,08/02/2017 00:00,167,1
20837,1,01/07/2000 00:00,Crossbreed,0,0,12/03/2016 00:00,15.7,NotPrescribed,,NA,0,1,30/08/2016 00:00,1,1,Euthanasia,Not related to cardiac disease,11/12/2016 00:00,,171,0
11184,1,22/09/2009 00:00,Cavalier King Charles Spaniel,1,0,28/11/2016 00:00,7.18,NotPrescribed,18/05/2017 00:00,NA,1,1,18/05/2017 00:00,1,1,Unassisted,Primary reason for death,06/12/2017 00:00,,171,0
3599,1,01/11/2008 00:00,Cavalier King Charles Spaniel,0,1,17/04/2018 00:00,9.46,NotPrescribed,,NA,0,1,05/10/2018 00:00,1,1,Euthanasia,Secondary reason for death,05/07/2021 00:00,,171,0
22605,0,09/11/2004 00:00,Lhasa Apso,0,0,17/04/2018 00:00,13.43,NotPrescribed,,NA,0,0,,1,2,Euthanasia,Not recorded,08/10/2018 00:00,,174,0
61967,1,07/08/2008 00:00,Cavalier King Charles Spaniel,1,1,27/02/2017 00:00,8.56,NotPrescribed,23/08/2017 00:00,NA,0,1,23/08/2017 00:00,0,1,,,,28/08/2020 00:00,177,0
58896,1,30/10/2004 00:00,Jack Russell Terrier,1,1,20/02/2017 00:00,12.31,NotPrescribed,,NA,0,0,,1,2,Euthanasia,Not related to cardiac disease,16/08/2017 00:00,,177,0
73478,0,01/03/2003 00:00,Toy Poodle,0,1,07/06/2017 00:00,14.27,NotPrescribed,07/12/2017 00:00,NA,0,1,07/12/2017 00:00,1,1,Unassisted,Not recorded,15/05/2018 00:00,,183,0
51364,1,30/08/2003 00:00,Shih Tzu,0,1,06/07/2016 00:00,12.85,NotPrescribed,,NA,0,0,,1,2,Euthanasia,Not recorded,06/01/2017 00:00,,184,0
77114,0,19/12/2003 00:00,West Highland White Terrier,0,1,09/06/2017 00:00,13.47,NotPrescribed,,NA,0,0,,1,2,Euthanasia,Secondary reason for death,12/12/2017 00:00,,186,0
41685,3,03/02/2007 00:00,Poodle,0,1,20/10/2017 00:00,10.71,NotPrescribed,25/04/2018 00:00,NA,1,1,25/04/2018 00:00,1,1,Euthanasia,Secondary reason for death,13/02/2019 00:00,,187,0
15665,1,16/10/2006 00:00,Crossbreed,1,1,29/06/2018 00:00,11.7,NotPrescribed,02/01/2019 00:00,NA,0,1,02/01/2019 00:00,1,1,Euthanasia,Not recorded,12/11/2019 00:00,,187,0
98625,1,23/12/2007 00:00,Maltese Terrier,0,1,30/07/2016 00:00,8.6,NotPrescribed,,NA,1,0,,0,0,,,,02/02/2017 00:00,187,1
10696,0,10/03/2006 00:00,Cavalier King Charles Spaniel,1,1,09/12/2016 00:00,10.75,NotPrescribed,15/06/2017 00:00,NA,0,1,15/06/2017 00:00,1,1,Euthanasia,Not recorded,27/02/2018 00:00,,188,0
90647,0,22/11/2004 00:00,Yorkshire Terrier,0,1,02/02/2016 00:00,11.2,NotPrescribed,,NA,0,0,,1,2,Euthanasia,Not recorded,09/08/2016 00:00,,189,0
51251,0,30/03/2004 00:00,Shih Tzu,0,1,22/07/2016 00:00,12.31,NotPrescribed,,NA,0,0,,1,2,Euthanasia,Secondary reason for death,27/01/2017 00:00,,189,0
39839,1,05/09/2001 00:00,Shih Tzu,1,0,16/08/2018 00:00,16.94,NotPrescribed,,NA,0,0,,1,2,Euthanasia,Not related to cardiac disease,21/02/2019 00:00,,189,0
21135,0,15/11/2007 00:00,Chihuahua,0,1,21/05/2017 00:00,9.51,NotPrescribed,28/11/2017 00:00,NA,0,1,28/11/2017 00:00,0,1,,,,28/11/2017 00:00,191,0
75377,0,28/10/2003 00:00,Shih Tzu,0,1,07/09/2016 00:00,12.86,NotPrescribed,17/03/2017 00:00,NA,0,1,17/03/2017 00:00,1,1,Euthanasia,Not recorded,20/07/2017 00:00,,191,0
3496,1,31/08/2009 00:00,Cavalier King Charles Spaniel,1,0,21/02/2017 00:00,7.48,NotPrescribed,,NA,0,0,,0,0,,,,31/08/2017 00:00,191,1
15505,1,05/11/2006 00:00,Dachshund Standard,1,0,25/11/2017 00:00,11.06,NotPrescribed,,NA,0,0,,0,0,,,,04/06/2018 00:00,191,1
85500,2,22/12/2004 00:00,Cavalier King Charles Spaniel,0,1,10/02/2016 00:00,11.13,NotPrescribed,,NA,0,0,,1,2,Euthanasia,Not recorded,19/08/2016 00:00,,191,0
89121,2,06/01/2005 00:00,Cavalier King Charles Spaniel,0,1,18/06/2016 00:00,11.45,NotPrescribed,,NA,0,1,27/12/2016 00:00,1,1,Euthanasia,Secondary reason for death,27/12/2016 00:00,,192,0
92433,2,17/04/2009 00:00,King Charles Spaniel,0,1,21/09/2017 00:00,8.43,Prescribed,03/02/2018 00:00,135,1,0,,0,0,,,,02/04/2018 00:00,193,1
41858,2,06/08/2003 00:00,Pekingese,0,0,19/08/2017 00:00,14.04,NotPrescribed,,NA,0,0,,0,0,,,,02/03/2018 00:00,195,1
97686,0,05/07/2007 00:00,Chihuahua,0,0,02/07/2018 00:00,10.99,NotPrescribed,17/01/2019 00:00,NA,0,1,16/01/2019 00:00,1,1,Euthanasia,Not recorded,04/11/2019 00:00,,198,0
1100,2,18/09/2002 00:00,Dachshund Standard,0,1,22/06/2017 00:00,14.76,NotPrescribed,,NA,0,0,,0,0,,,,09/01/2018 00:00,201,1
39412,0,18/03/2007 00:00,Crossbreed,0,1,01/02/2017 00:00,9.88,NotPrescribed,29/08/2017 00:00,NA,0,1,22/08/2017 00:00,1,1,Euthanasia,Not related to cardiac disease,24/01/2019 00:00,,202,0
